insolation_flux,transit_depth,stellar_rad,planet_radius,orbital_period,stellar_logg,mission,disposition,equilibrium_temp,stellar_teff,transit_duration
86.22,750.6,0.918,2.47,10.35533116,4.462,Kepler,CANDIDATE,777.0,5501.0,3.1775
33.43,1442.4,0.826,3.68,16.08518937,4.523,Kepler,CANDIDATE,613.0,5239.0,3.984
0.29,20715.0,0.657,10.59,235.9986399,4.627,Kepler,CANDIDATE,188.0,4245.0,8.2284
76.06,1123.6,0.787,2.56,7.49018305,4.562,Kepler,CANDIDATE,753.0,5103.0,2.7297
9.29,1572.6,0.787,3.03,36.2761238,4.562,Kepler,CANDIDATE,445.0,5103.0,4.7865
24.6,812.4,0.787,2.32,17.46087931,4.562,Kepler,CANDIDATE,568.0,5103.0,2.2641
0.69,1626.0,0.491,1.94,56.0560754,4.757,Kepler,CANDIDATE,233.0,3593.0,4.685
9.93,22839.0,0.747,11.38,41.408316686,4.586,Kepler,CANDIDATE,453.0,5522.0,5.0264
21.87,15179.0,0.964,14.21,39.74893077,4.487,Kepler,CANDIDATE,552.0,6122.0,7.3051
123.03,908.1,0.826,2.47,5.715425977,4.572,Kepler,CANDIDATE,850.0,5237.0,2.5242
47.4,1646.2,2.057,8.2,49.18394185,3.907,Kepler,CANDIDATE,669.0,5626.0,11.3364
23.14,421.2,0.826,2.28,20.0261412,4.572,Kepler,CANDIDATE,559.0,5237.0,1.611
68.29,5732.9,0.903,19.02,13.61014819,4.46,Kepler,CANDIDATE,733.0,5697.0,2.594
46.94,1159.8,0.802,2.66,10.44331991,4.516,Kepler,FALSE POSITIVE,667.0,4947.0,2.743
427.17,315.8,0.81,1.41,2.237489571,4.58,Kepler,CANDIDATE,1160.0,5265.0,1.8119
155.89,33004.0,0.806,14.62,5.851520671,4.53,Kepler,FALSE POSITIVE,901.0,5532.0,3.11058
526.23,781.2,0.94,2.62,3.167893418,4.503,Kepler,CANDIDATE,1221.0,5895.0,2.1814
274.84,1154.0,0.927,3.11,4.311780262,4.484,Kepler,CANDIDATE,1038.0,5527.0,2.7251
35.44,840.9,0.927,2.69,20.0504494,4.484,Kepler,CANDIDATE,622.0,5527.0,4.556
92.46,569.1,0.927,2.67,9.76734503,4.484,Kepler,CANDIDATE,791.0,5527.0,1.6585
4.25,7430.5,1.062,8.98,119.0207044,4.342,Kepler,CANDIDATE,366.0,5453.0,8.1405
7.8,1141.7,2.057,7.78,190.3200468,3.907,Kepler,CANDIDATE,426.0,5626.0,15.284
797.1,1014.3,1.021,4.37,2.861159894,4.458,Kepler,FALSE POSITIVE,1355.0,6126.0,1.8832
23.54,1843.5,0.929,3.91,26.44439337,4.463,Kepler,CANDIDATE,562.0,5427.0,3.9783
9.67,3644.3,0.929,5.51,51.53997972,4.463,Kepler,CANDIDATE,450.0,5427.0,6.3994
173.74,702.3,0.929,2.43,5.902245782,4.463,Kepler,CANDIDATE,926.0,5427.0,2.9003
583.01,391.6,0.929,1.86,2.382951591,4.463,Kepler,CANDIDATE,1253.0,5427.0,1.8876
17.48,1772.5,0.75,3.07,21.02250608,4.585,Kepler,CANDIDATE,521.0,5067.0,4.1072
234.93,488.2,0.787,1.69,3.219814777,4.562,Kepler,CANDIDATE,998.0,5103.0,2.0642
27.72,961.4,0.57,1.73,5.912273234,4.696,Kepler,CANDIDATE,585.0,4072.0,2.3254
15.9,881.3,0.57,1.65,8.98581901,4.696,Kepler,CANDIDATE,509.0,4072.0,2.8606
64.64,42450.0,0.809,22.94,12.940668656,4.572,Kepler,CANDIDATE,723.0,5875.0,2.4845
71.57,218.5,1.264,2.41,20.5452375,4.206,Kepler,FALSE POSITIVE,742.0,5670.0,2.517
14.22,7425.9,0.93,8.46,33.60123371,4.447,Kepler,CANDIDATE,495.0,5149.0,4.4056
120.48,450.7,0.93,1.97,6.76652928,4.447,Kepler,CANDIDATE,845.0,5149.0,2.9004
449.79,451.6,1.122,2.36,4.347288783,4.345,Kepler,CANDIDATE,1174.0,5754.0,2.1024
